動物名稱,頭髮,羽毛,蛋,牛奶,空降,水,捕食者,帶齒的,骨幹,呼吸,有毒,鰭,腿,尾巴,可養馴的,大小,類型
土豚,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,class1
羚羊,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class1
鱸,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class4
熊,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,class1
公豬,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
水牛,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class1
小牛,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,class1
鯉魚,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,class4
鯰魚,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class4
豚鼠,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,class1
獵豹,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
雞,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,class2
鰱魚,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class4
蛤,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,class7
螃蟹,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,class7
小龍蝦,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,class7
烏鴉,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,class2
鹿,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class1
角鯊,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,class4
海豚,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,class1
鴿子,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,class2
鴨,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,class2
大象,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class1
火烈鳥,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,class2
跳蚤,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,class6
青蛙,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,class5
青蛙,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,class5
果蝠,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,class1
長頸鹿,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class1
女孩,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,class1
蚊蟲,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,class6
山羊,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,class1
大猩猩,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,class1
鷗,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,class2
黑線鱈,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,class4
倉鼠,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,class1
野兔,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,class1
鷹,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,class2
鯡魚,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class4
蜜蜂,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,class6
蒼蠅,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,class6
獼猴桃,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,class2
瓢蟲,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,class6
雲雀,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class2
豹,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
獅子,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
龍蝦,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,class7
猞猁,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
貂,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,class1
痣,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,class1
貓鼬,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
蛾,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,class6
蠑螈,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,class5
章魚,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,class7
負鼠,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,class1
羚羊,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class1
鴕鳥,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,class2
長尾小鸚鵡,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,class2
企鵝,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,class2
野雞,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class2
派克,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,class4
食人魚,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class4
蝮蛇,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,class3
鴨嘴獸,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,class1
雞貂,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
小馬,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,class1
海豚,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,class1
彪馬,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
貓,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,class1
狸,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
馴鹿,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,class1
瑞亞,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,class2
蠍,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,class7
海馬,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,class4
海豹,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,class1
海獅,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,class1
海蛇,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,class3
海蜂,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,class7
撇渣器,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,class2
賊鷗,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,class2
慢蟲,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,class3
蛞蝓,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,class7
唯一,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,class4
麻雀,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class2
松鼠,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,class1
海星,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,class7
黃貂魚,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,class4
天鵝,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,class2
白蟻,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,class6
蟾蜍,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,class5
烏龜,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,class3
大蜥蜴,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,class3
金槍魚,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,class4
吸血鬼,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,class1
田鼠,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,class1
禿鷲,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,class2
小袋鼠,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,class1
黃蜂,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,class6
狼,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
蟲,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,class7
鷦,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class2
